from,amount
FQHSGSDA5ISGLMTZK7E6P5ZTWSLDD44PXMHEPC7JJDMLYFZTPZAHMP7SCE,1130100
B7OAWWDXAY455MVQCSGBJ7XJLDEAZEJMS22MWMHQOYEF6YOMOJUJWJZZPU,43300
7R4SWIFLZC2ZEMYSNGQKKQ2QH5GDBIZLTTZQG7XDUZJ5CB2KCXF3YG6EQA,32302
KFP6GXN4OME6PZFCIUBWIUXUFM2UQQCBE66427XAOBYX4KX4SIGCURKJKA,1430000
5DDJLGMV7ZAQBBJZQTWCRR3A57SZCG4J4GL4QEUAVVTJKXZTZDY6NAUAJ4,30000
FXXNUDLZX36KTGF2D2YZ4TQXPUUPLERKY36SUNWUAFQM7S7D4GYD4MQS2A,16725000
K4T34R5EKBU6XYPK6FN37KX5BSHUAU4BNJILRLBLVMWWQ6B6U62G7T35TI,35900
PTL3W7VCUL6EL7CNWLYUQ7HETO5MP7V3EVVD4SB7BPJY3RYNZK3MSKBWGM,274900
MDXSG5YFIYYHFLDYMWNKV5GX2MRVTRYFZ5C3TMI372E2ANH2SJSIQ5JTEM,5719390
V3OJC3R3Q4USK6ONCGD3OZDB5Q2S2PUO2LSIPB5JHEY6XOPOJB2O3OA3IU,1926200
KC5HB4Z7IAIPGNC2G5J6JJI5NLUJQBNPDIMZGKOQKJAFALHKA2XNTKWORI,16000000
JOJMS5BBQ7ZN6Y4XIBR2DD6IBPHE5BM7L5FUXI74QRN2ATAIYRRGBMFR3Y,2066100
DPYR3OQWPCMWXN6PNC3ADWNXGNFKDT2V5PMOWZEO2QWUVMR732DLHGFU6Y,2134024
XBE3VKCPCOK7HJFJ3R36DKLAQY44PTH5YYY2S4B736RTLHNHG4ELZB64S4,1078400
BPVQAIMY5KXPAZ5OJ2V4HHXVYUJKPGGX3EVBIFULUE5M65MBE2I2HAG7SU,100
YWANPHTOXRVZCFNLRT7RVHRO5BZHVW6TG3HRJVUDVOJV3NQCGHW5NSCMAI,3033300
XIJBQUGVHBFQLJCXDSKIZIJ6YLUIBSJGW4VL7IK7T3QTRNYKB5XBPHFTFU,9042
7QGMT4WCGRNV2P5ZV5M7NIERTJ63KAAZC6ULFJSSRQH7PR7WT7QRPRO4PM,10000
UWFUWQ4JINWTLZG7TGRAB7IVDSXFWDQVNIY5GVJ5DAO46USMEVHCXLEHDQ,2624100
NEQVH75CLGFGASWEBFZ2F6G24DP2AW4EB3T2664BMYDUJDHMKQDQSJ6XZ4,1134700
HDBAA3FEEUJTPFYTKS7STQXJ4WSQD6WHKVPK54CUAPJ4XD5V4ZSTXVIV7M,954200
7QGMT4WCGRNV2P5ZV5M7NIERTJ63KAAZC6ULFJSSRQH7PR7WT7QRPRO4PM,1000
6SNY5BGSS7DKQMTTU5IIL63ZQCSVM45VHJJP7T6X2ZLHRXESAJQO55RRRI,2232001
7QGMT4WCGRNV2P5ZV5M7NIERTJ63KAAZC6ULFJSSRQH7PR7WT7QRPRO4PM,100
LGKY4UJ3OGYN32HBG2Y3NFCZICOSLBVRUSC3P4LVG5EUPJMERGLO63V34Y,211300
ZONFMY3LP37FX23NUQ4YCT64CQCR6JWICWAIBOLGZSXN7BKBYGTN2JXGYA,80000
K5ECQTQRTAREKGHDZB6MSXYYL344WDZZTRK2PB32RME6ZHIIBYAVSNDTPM,151982700
73EDQMHYTNLSWVJ6FSJQWAW6YQ6PP74RZB2KO4JUGXANNWAZPUCYB3NGO4,11307204
7XOIV2FFZUL4ZMYDCBJPLHGD4NHSWVMYLEZ3IFB626KHDWH3FOJPC3QAWU,1100000
J4RJPRRI37P5GRCZGBOFAE7JJQDQH7CM3LWB5AVJZ6AKMQEEIH75CIH72A,600000
OWQVOC45NXVF6QUCKKGOHFBIOC26RPM6YOXCOK7OM2I5M542EHRMXYH45Y,1000000
UPNFHPRL6DJOLDO7WTAW5SG34TPH5RXKPZWO4THXJG5B6ERX3T7ZRXCKKU,159700
UDQNFPOPR23YWUH625ELJWN56BBLFUK6PNZI6GMHFMARDDEHTXF3JDOOUI,9434400
FLQYEC6WTQWIELGB77QP2VFRRONPTRN6A5XB2B6HPL2RP3IA3MLLINY64Y,1046800
2HGZ2WLDORPTZWJXN6ZRQBZX2FCOMQMGTXYHGC2ICF3ZMEFVUPSUPXZJ6U,100
BTIAXWB2UIDPKF2FCKK7IRW45A2GKJOG7FO4VBKS6AOLHMNLIQ4V27LSCY,500
SNGCSF6GDEZORYK7KN54PJUZ7VO7M5PCNJ6OAAIENZAWXDJKYODM2NN2CM,10000
XFCZEMYFV2KZ3SY4QEF4JMCT6XJKVAU2QHQYTP4PA7STUOJD53IIXTX6ZM,4936
